UserID,JobID,Event,Date
698,1053272,viewed,2023-08-16
698,535105,viewed,2023-05-30
698,171400,viewed,2023-10-07
698,804823,viewed,2023-09-11
698,1113149,viewed,2023-04-22
2305,573231,viewed,2023-10-23
2305,173609,viewed,2023-08-18
2305,758183,viewed,2023-01-13
2305,796649,viewed,2023-10-17
2305,863240,viewed,2023-05-19
3406,681893,viewed,2023-10-16
3406,299908,viewed,2023-09-16
3406,1061320,viewed,2023-01-05
3406,615722,viewed,2023-01-31
3406,97771,viewed,2023-10-25
4182,871285,viewed,2023-03-30
4182,156625,viewed,2023-05-23
4182,582282,viewed,2023-03-25
4182,970087,viewed,2023-08-16
4182,535053,viewed,2023-07-07
4768,959395,viewed,2023-03-23
4768,479978,viewed,2023-06-24
4768,772931,viewed,2023-02-05
4768,136804,viewed,2023-03-04
4768,898791,viewed,2023-03-04
5080,201624,viewed,2023-10-31
5080,35995,viewed,2023-06-05
5080,523402,viewed,2023-11-04
5080,265386,viewed,2023-02-01
5080,900555,viewed,2023-09-24
5954,268576,viewed,2023-08-28
5954,865009,viewed,2023-07-17
5954,963081,viewed,2023-07-06
5954,212090,viewed,2023-10-31
5954,452135,viewed,2023-09-20
7834,118994,viewed,2023-04-19
7834,796,viewed,2023-09-07
7834,300776,viewed,2023-04-24
7834,951701,viewed,2023-05-02
7834,1104317,viewed,2023-10-28
8137,452147,viewed,2023-02-19
8137,14391,viewed,2023-06-22
8137,1032351,viewed,2023-10-23
8137,458789,viewed,2023-03-13
8137,222314,viewed,2023-04-09
9157,1009301,viewed,2023-07-29
9157,54750,viewed,2023-10-09
9157,910645,viewed,2023-06-10
9157,299233,viewed,2023-03-08
9157,330325,viewed,2023-09-12
9884,876782,viewed,2023-11-16
9884,364686,viewed,2023-06-09
9884,279238,viewed,2023-11-16
9884,554639,viewed,2023-11-24
9884,386591,viewed,2023-10-20
10370,512227,viewed,2023-04-23
10370,805616,viewed,2023-08-22
10370,699311,viewed,2023-10-08
10370,229644,viewed,2023-11-09
10370,1061320,viewed,2023-09-06
11060,680379,viewed,2023-06-18
11060,491268,viewed,2023-09-11
11060,624167,viewed,2023-05-01
11060,749790,viewed,2023-01-15
11060,878359,viewed,2023-11-09
11400,361259,viewed,2023-04-11
11400,384121,viewed,2023-07-13
11400,730545,viewed,2023-03-11
11400,749238,viewed,2023-10-20
11400,364686,viewed,2023-08-30
11844,268576,viewed,2023-02-18
11844,335353,viewed,2023-08-21
11844,854015,viewed,2023-12-02
11844,530317,viewed,2023-11-21
11844,35995,viewed,2023-04-07
13552,846984,viewed,2023-07-16
